magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
acid	|
wage	[weɪdʒ] n. 工资；[常 pl.] 报酬
stretch	|
evaporate	[ɪˈvæpəreɪt] v. （使）蒸发；消失；不复存在
necessarily	[ˈnesəsərəlɪ; ˏnesəˈserəl] ad. 必要地；必然地
input	|
speculation	[ˏspekjuˈleɪʃn] n. 推测，思索；投机活动，投机买卖
handicapped	[ˈhændikæpt] a. 残废的，有生理缺陷的
bump-into	__bump__ __into__ [bʌmp ˈɪntuː] 不期而遇，邂逅
dominate	[ˈdɔmɪneɪt] v. 支配，统治；耸立于
shift	|
performance	__preforance__ [pəˈfɔːməns] n. 演出，表演；履行，执行；功能，性能表现
picturesque	[ˏpɪktʃəˈresk] a. 美丽如画的；（语言）生动的
enclosure	[ɪnˈkləuʒə(r)] n. 四周有篱笆（或围墙等）的场地，围场；（信中的）附件
colossal	[kəˈlɔsl] a. 巨大的，庞大的
liquor	[ˈlɪkə(r)] v. 烈性酒；含酒精饮料
intensify	[ɪn'tensɪfaɪ] vt. 使增强；使加剧
decoration	[ˏdekəˈreɪʃn] n. 装饰，装潢；装饰品
surveillance	[sɜːˈveɪləns] n. 监视，盯梢
bin	[bɪn] n. 大箱子；仓
capacity	[kəˈpæsətɪ] n. 容量，容积；能量，能力
attendance	|
virtue	[ˈvɜːtʃuː] n. 美德；优点
perpetuate	[pəˈpetʃueɪt] vt. 使永存；使持续
cloakroom	[ˈkləukrum] n. 衣帽间； <英> 洗手间
sporadically	[spə'rædɪklɪ] ad. 偶发地；零星地
seep	[siːp] vi. 漏出，渗漏
constrain	[kənˈstreɪn] vt. 迫使；约束
penetration	[ˏpenɪˈtreɪʃn] n. 进入，穿过；洞察力，领悟力
concede	[kənˈsiːd] v. （不情愿地）承认；让步
pavement	[ˈpeɪvmənt] n. 人行道；地面，路面
manufacture	|
dock	[dɔk] v. （使）靠码头  n. 码头
chill	[tʃɪl] v. （使）变冷，冷藏  n. 寒意；寒战；寒心  a. 寒冷的；扫兴的
autocratic	[ˌɔ:tə'krætɪk] a. 独裁的，专制的
conserve	[kənˈsɜːv] vt. 保护；保存，储存；节约
credible	[ˈkredəbl] a. 可信的，可靠的
renewal	[rɪˈnju:əl] n. 更新，恢复；重新开始；重建；复兴；续期；重申
eco-friendly	[ˌiːkəuˈfrendlɪ] a. 环保的
diagnose	[ˈdaɪəgnəuz] v. 诊断；判断
crisp	|
species	[ˈspiːʃiːz] n. 种，物种
mineral	[ˈmɪnərəl] n. 矿物，矿石
personality	[ˏpɜːsəˈnælətɪ] n. 人格；个性；名人，人物
panic	|
encroach	[ɪnˈkrəutʃ] vi. 侵入，侵占，侵犯；侵蚀，蚕食（土地）
stabilise	[ˈsteɪbəlaɪz] v. （使）稳定，（使）稳固
exemplify	[ɪgˈzemplɪfaɪ] vt. 作为……的典型；例证，举例说明
alert	|
glossy	['ɡlɒsɪ] a. 有光泽的，光滑的
habitable	[ˈhæbɪtəbl] a. 适于居住的，可居住的
trial	|
academic	|
astonish	[əˈstɔnɪʃ] vt. 使惊讶，使吃惊
stamp	|
savour	|
underneath	|
irrevocable	[ɪˈrevəkəbl] a. 无法取消的，不能改变的
flee	[fliː] v. 逃走；逃避
personal	[ˈpɜːsənl] a. 个人的，私人的；亲自的，本人的；身体的，人身的
creep	[kriːp] vi. 悄悄移动；缓慢进行；爬行
dimensional	[dɪ'menʃənəl] a. ……度空间的，……维的
crucial	[ˈkruːʃl] a. 决定性的；至关重要的
marsupial	[mɑːˈsuːpɪəl] n./a. 有袋动物（的）
certificate	[səˈtɪfɪkət] n. 证书，执照
mess	[mes] n. 凌乱  v. 弄糟，搞乱
imagine	[ɪˈmædʒɪn] v. 想象；猜想
recipe	[ˈresəpɪ] n. 食谱；方法，秘诀，秘方
certify	[ˈsɜːtɪfaɪ] vt. 证明，保证
essay	[ˈeseɪ] n. （作为课程作业的）短文、文章；评论文
lethal	[ˈliːθl] a. 致命的，破坏性的，毁灭性的；有害的
galaxy	[ˈgæləksɪ] n. [the G-] 银河；星系；群英
collection	[kəˈlekʃn] n. 收集，积聚；收藏（品）
microprocessor	[ˌmaɪkrəʊˈprəʊsesə(r)] n. 微处理器
confuse	[kənˈfjuːz] vt. 使混乱，混淆；使迷惑，使糊涂
perplex	[pəˈpleks] vt. 使困惑；使复杂化
brand	|
highway	[ˈhaɪweɪ] n. 公路
inspiration	[ˏɪnspəˈreɪʃn] n. 启示，灵感；鼓舞人心的人（或事），激励
output	|
staircase	[ˈsteəkeɪs] n. 楼梯
activate	[ˈæktɪveɪt] vt. 激活；使活动，使活化
jostle	[ˈdʒɔsl] v. 推挤；挤开通路
epidemic	[ˏepɪˈdemɪk] a. 流行性的  n. 流行病
cuisine	[kwɪˈziːn] n. 烹饪；烹调法，烹调风格；菜肴
absorb	[əbˈsɔːb] v. 吸收；吸引……的注意，使全神贯注；把……并入，同化
spite	[spaɪt] n. 恶意，怨恨
hook	|
irrigation	[ˌɪrɪ'ɡeɪʃn] n. 灌溉；冲洗
landfill	['lændfɪl]    n. 垃圾堆；垃圾填筑地，废渣埋填地
tilt	|
ion	[ˈaɪən] n. 离子
proceed	[prəˈsiːd] vi. 进行；前进；继续
stable	|
possession	[pəˈzeʃn] n. 持有，拥有；所有权；所有物，财产，财富；领土
depress	[dɪˈpres] vt. 使沮丧；使不景气；降低，减少
rampant	[ˈræmpənt] a. （犯罪、疾病等）猖獗的，肆虐的，泛滥的；（植物）蔓生的，疯长的
leather	[ˈleðə(r)] n. 皮革，皮革制品
denote	[dɪˈnəut] v. 表示，指示；意味着
global	[ˈgləubl] a. 全球的，全世界的；整体的，全面的
nutrition	[njuˈtrɪʃn] n. 营养；营养学
prominent	[ˈprɔmɪnənt] a. 突出的；著名的；显著的
guideline	[ˈgaɪdlaɪn] n. [常pl.] 指导方针；准则，行动纲领
formidable	[ˈfɔːmɪdəbl] a. 可怕的；难以应付的，难以克服的
scare	|
subjective	[səbˈdʒektɪv] a. 主观（上）的
refresher	__refrasher__ [rɪ'freʃə] n. 提神物；帮助记忆的东西或人；补习课程
forth	[fɔːθ] ad. 离去，外出；向前；向某处
atmospheric	[ˏætməsˈferɪk] a. 大气的，空气的；大气层的；大气所引起的
envisage	[ɪnˈvɪzɪdʒ] vt. 展望，想象；面对
unfortunately	[ʌnˈfɔ:tʃənətli] ad. 不幸地
enact	[ɪˈnækt] v. 通过（法律）；扮演（角色）
succeed	[səkˈsiːd] v. 成功；接着发生
aesthetic	[iːsˈθetɪk] a. 美学的；审美的
marker	['mɑ:kə(r)] n. 标记，标志
distinct	[dɪˈstɪŋkt] a. 清楚的，明显的；有区别的，不同的
grove	[grəuv] n. 树丛，小树丛
target	|
cosy	[ˋkəuzɪ] a. 舒适的，安逸的
revolve	[rɪˈvɔlv] v. （使）旋转
chamber	[ˈtʃeɪmbə(r)] n. 室；洞穴；（枪）膛
tough	[tʌf] a. 难对付的；健壮的；（肉等食物）老的
insert	[ɪnˈsɜːt] v. 插入，嵌入
pull-up-stakes	pull up stakes 离开，搬家
magnet	[ˈmægnɪt] n. 磁铁，磁石；磁体；有吸引力的人或物
disenchantment	[ˌdɪsɪn'tʃɑ:ntmənt] n. 失望，不抱幻想
inflate	[ɪnˈfleɪt] v. 使充气，使膨胀；使得意，使骄傲；抬高（物价），使（通货）膨胀
formulate	[ˈfɔːmjuleɪt] vt. 系统阐述，明确表达；构想出（计划、方法等），规划（制度等）
alienate	[ˈeɪlɪəneɪt] vt. 使疏远，使不友好；转让，让渡（财产等）
holistically	[həʊ'lɪstɪklɪ] ad. 整体地，全盘地
deny	[dɪˈnaɪ] v. 否认，否定；拒绝
abound	[əˈbaund] vi. 富于；充满
comparative	[kəmˈpærətɪv] a. 比较的；相当的
cookery	[ˈkukərɪ] n. 烹调法
include	[ɪnˈkluːd] v. 包括，包含；计入
congestion	[kənˈdʒestʃən] n. 拥挤，充塞；充血
defeat	[dɪˈfiːt] n./vt. 击败；挫败；战败
sincere	[sɪnˈsɪə(r)] a. 真挚的，诚挚的，真诚的，诚恳的
locality	[ləuˈkælətɪ] n. 位置；地区
offspring	[ˈɔfsprɪŋ] n. 子女，后代；产物
intrigue	|
competent	[ˈkɔmpɪtənt] a. 有能力的；能胜任的
shelter	|
magnificent	[mægˈnɪfɪsnt] a. 壮丽的，宏伟的，华丽的；高尚的
immigration	[‚ɪmɪ'greɪʃn] n. 外来的移民；移居
enlarge	[ɪnˈlɑːdʒ] v. 扩大，放大，扩充
deputy	[ˈdepjutɪ] n. 代理人；代表
spot	|
tendency	__trendency__ ['tendənsɪ] n. 倾向，趋向
soak	[səuk] v. 浸泡
incredible	[ɪnˈkredəbl] a. 不可信的；难以置信的
subscription	[səbˈskrɪpʃn] n. 订阅，订购；订阅费，订购款；捐赠，捐助；签字，签署
innovation	[ˌɪnəˈveɪʃn] n. 革新，创新
feeble	[ˈfiːbl] a. 虚弱的；无效的
intermix	[ˏɪntəˈmɪks] v. 混入，混杂
gorge	|
arable	|
treatment	[ˈtriːtmənt] n. 治疗；对待
smooth	[smuːð] a. 顺利的；流畅的；协调的
literate	[ˈlɪtərət] a. 有读写能力的；有文化的；博学的
diffuse	|
employ	[ɪmˈplɔɪ] n./vt. 雇用；用，使用
desirable	[dɪˈzaɪərəbl] a. 值得拥有的；合意的；可取的，有利的
mammal	[ˈmæml] n. 哺乳动物
frustration	[frʌ'streɪʃn] n. 沮丧，不满
mere	[mɪə(r)] a. 仅仅的；纯粹的
tragic	[ˈtrædʒɪk] a. 悲惨的；悲剧（性）的
hence	[hens] ad. 因此，所以；今后，从此
complexity	[kəm'pleksətɪ] n. 复杂，复杂性；复杂的事物
debate	[dɪˈbeɪt] n./v. 争论，辩论
career	[kəˈrɪə(r)] n. 生涯；经历；职业
moss	[mɔs] n. 苔藓
fair	[feə(r)] a./ad. 公平的/地
aviation	[ˏeɪvɪˈəɪʃn] n. 航空，飞行；航空制造业
exchange	|
chink	|
murder	[ˈmɜːdə(r)] n./v. 谋杀，凶杀
clinical	[ˈklɪnɪkl] a. 临床的；冷静客观的；简朴的，不装饰的
composition	[ˏkɔmpəˈzɪʃn] n. 作品；写作，作曲；结构，组成，成分
swallow	|
saturate	[ˈsætʃəreɪt] vt. 使湿透，浸透；使充满，使饱和
introspection	[ˌɪntrəˈspekʃn] n. 内省，反省
repack	[re'pæk] vt. 重新包装；重新填塞；再装配；拆修
drawback	[ˈdrɔːbæk] n. 缺点；不利条件
tranquility	[træŋ'kwɪlɪtɪ] n. 宁静，安静
version	[ˈvɜːʃn] n. 样式；型号；种类；说法；版本；译本
equivalent	|
explode	[ɪkˈspləud] v. （使）爆炸；爆发；激增
voltage	[ˈvəʊltɪdʒ] n. 电压
scrap	|
foul	|
mass	|
empirical	[ɪmˈpɪrɪkl] a. 经验主义的，以经验为依据的
undermine	[ˏʌndəˈmaɪn] vt. 削弱；破坏
predispose	[ˏpriːdɪˈspəuz] v. 事先（在某方面）影响某人；偏爱；（使）易受感染（或患病）
waterproof	['wɔ:təpru:f] a. 不透水的；防水的
perimeter	[pəˈrɪmɪtə(r)] n. 周长；周边
rumour	[ˈruːmə(r)] n. 谣传，谣言
pretend	[prɪˈtend] v. 装作，假装
govern	[ˈgʌvn] v. 统治，管理；控制，支配
definite	[ˈdefɪnət] a. 明确的，肯定的；清楚的
obsession	[əb'seʃn] n. 牵挂，惦念；迷住，困扰；萦绕于心的事物或人；固执的念头
absenteeism	[ˌæbsənˈti:ɪzəm] n. 旷课；旷工
disparage	[dɪˈspærɪdʒ] vt. 贬抑，贬低；轻蔑，轻视
impress	|
miserable	[ˈmɪzrəbl] a. 悲惨的，痛苦的；令人难受的
membership	[ˈmembəʃɪp] n. 会员身份；全体会员
diverge	[daɪˈvɜːdʒ] vi. （道路，线条等）分开，岔开；（意见、观点等）分歧，相异；偏离，违背
offset	[ˈɔfset] vt. 抵消，补偿，弥补
assault	|
external	[ɪkˈstɜːnl] a. 外面的，表面的
stage	[steɪdʒ] n. 舞台；戏剧；阶段
labour	|
floral	[ˈflɔːrəl] a. 花的，像花的；绘有花的，饰以花的；植物群的
gleam	|
contribute	[kənˈtrɪbjuːt] [ˈkɒntrɪbjuːt] v. 捐赠，捐助；起作用，影响
feedback	[ˈfiːdbæk] n. 反馈；反馈信息
beware	[bɪˈweə(r)] v. 谨防，当心
cognition	[kɔgˈnɪʃn] n. 感知，认知；认识力
architecture	[ˈɑːkɪtektʃə(r)] n. 建筑学；建筑设计，建筑风格, [计] 体系结构
authenticate	[ɔ:ˈθentɪkeɪt] vt. 鉴别，证明
zone	[zəun] n. 地区，地带；区域
moist	[mɔɪst] a. 湿润的，潮湿的
solidarity	__soliderity__ [ˏsɔlɪˈdærətɪ] n. 团结，一致
interplay	[ˈɪntəpleɪ] vi./n. 相互作用，相互影响
artificial	[ˏɑːtɪˈfɪʃl] a. 人工的，人造的；假的，矫揉造作的；模拟的
hamster	[ˈhæmstə(r)] n. 仓鼠
overcome	[ˏəuvəˈkʌm] vt. 战胜，克服；（感情等）压倒
insulation	[ˌɪnsjuˈleɪʃn] n. 隔绝，隔绝状态；绝缘（材料），隔热，隔音
enhancer	[ɪnˈhɑ:nsə(r)] n. 增强剂；放大器
retaliate	[rɪˈtælɪeɪt] vi. 报复，反击；复仇
avail	|
commiserate	[kəˈmɪzəreɪt] vi. 同情，怜悯
aisle	[aɪl] n. 走廊，通道；（教堂的）侧廊
chaos	[ˈkeɪɔs] n. 混乱
cumulative	__cumulatvie__ ['kju:mjələtɪv] a. 积累的，渐增的
squeeze	|
proportion	[prəˈpɔːʃn] n. 比例；部分；相称
appetite	__appetie__ [ˈæpɪtaɪt] n. 食欲，胃口；欲望
universe	[ˈjuːnɪvɜːs] n. 宇宙，天地万物；世界；领域
circumstance	[ˈsɜːkəmstəns] n. 环境；[pl.] 境况，情况
commerce	[ˈkɔmɜːs] n. 贸易，商业；交往，交流
merchandising	[ˈmɜ:tʃəndaɪzɪŋ] n. 销售规划
entrust	[ɪnˈtrʌst] vt. 委托，交付，托付
corridor	[ˈkɔrɪdɔː(r)] n. 过道，走廊
emulate	[ˈemjuleɪt] vt. 与……竞争，赶上；仿真，模仿
illegal	[ɪˈliːgl] a. 不合法的，违法的
cue	[kjuː] n. 暗示，提示
sundial	[ˈsʌndaɪəl] n. （通过太阳知道时间的）日规；日晷（仪）
MasterCard	[ˈmɑːstə(r)kɑːd] n. 万事达信用卡
sizeable	[ˈsaɪzəbl] a. 相当大的
ration	|
prerequisite	|
dispersal	[disˈpə:səl] n. 散布，分散；消散，疏散
compendium	[kəmˈpendɪəm] n. 简要，概略
sensation	[senˈseɪʃn] n. （感官的）感觉能力；感觉，知觉；轰动，引起轰动的事件（或人物）
allocate	[ˈæləkeɪt] vt. 分配；分派
hang-on	hang on  抓住；坚持下去；别挂断
acrobat	[ˈækrəbæt] n. 特技演员；杂技演员
blunt	|
pressure	|
purchase	|
internal	[ɪnˈtɜːnl] a. 内部的，国内的
figure	|
demonstrate	[ˈdemənstreɪt] v. 认证，证实；演示，说明；举行示威游行（或集会）
resistance	[rɪˈzɪstəns] n. 反抗，抵制；抵抗力，抵抗性；阻力；电阻
ejection	[ɪ'dʒekʃn] n. 喷出；排出物
supersede	[ˏsuːpəˈsiːd] vt. 代替，取代
biodiversity	[ˌbaɪəʊdaɪˈvɜ:səti] n. 生物多样性
divide	|
multiple	|
mountainous	[ˈmaʊntənəs] a. 多山的
trimester	[traɪˈmestə(r)] n. 三月期；学期
autonomy	[ɔ:ˈtɒnəmi] n. 自治，自治权；人身自由，自主权
persist	[pəˈsɪst] vi. 坚持；维持，保持，持续
assess	[əˈses] vt. 评定；估价
pragmatic	[prægˈmætɪk] a. 务实的；实事求是的；实用主义观点的
disillusionment	[ˌdɪsɪˈlu:ʒnmənt] n. 幻灭；觉醒，醒悟
stout	[staut] a. 发胖的，肥胖的，强壮的；结实的，牢固的；顽强的，坚毅的
parliament	[ˈpɑːləmənt] n. 议会，国会
resort	|
identifiable	[aɪˌdentɪˈfaɪəbl] a. 可辨认的，可识别的；可确定的，可证明是同一的
obligation	[ˏɔblɪˈgeɪʃn] n. 义务，职责，责任
veil	|
prevalence	['prevələns] n. 普及，流行，盛行
propellant	[prəˈpelənt] n. 喷射剂；推进物，推进剂
renew	[rɪˈnjuː] v. 重新开始；恢复；更换，更新；续借
management	[ˈmænɪdʒmənt] n. 管理（部门、人员）；处理
recreation	[ˏrekrɪˈeɪʃn] n. 娱乐，消遣
cannon	[ˈkænən] n. 加农炮，大炮
shrub	[ʃrʌb] n. 灌木
instinct	[ˈɪnstɪŋkt] n. 本能，直觉；天性
prediction	[prɪˈdɪkʃn] n. 预言，预料，预报
welfare	[ˈwelfeə(r)] n. 福利
addiction	[əˈdɪkʃn] n. 瘾；沉溺
saline	|
comb	|
naive	[naɪˈiːv] a. 幼稚的，天真的，不成熟的
individual	|
snap	|
predictable	___predictable_ [prɪˈdɪktəbl] a. 可预言的，可预报的；按老一套办事的，墨守成规的
speculate	[ˈspekjuleɪt] v. 推测；投机
indulge	[ɪnˈdʌldʒ] v. 沉溺于，纵情于；满足（欲望、兴趣等）；放纵，听任
telescope	[ˈtelɪskəup] n. 望远镜
seek	[siːk] v. 寻找；探索；追求
slide	|
devalue	[ˏdiːˈvæljuː] v. 使（货币）贬值；贬低
battery	__battary__ [ˈbætərɪ] n. 电池（组），蓄电池（组）
oppose	[əˈpəuz] v. 反对、反抗
resign	[rɪˈzaɪn] v. 辞职；辞去；放弃
machinery	[məˈʃi:nəri] n. <总称> 机械；机构
classical	[ˈklæsɪkl] a. 古典的；传统的；经典的
briefly	[ˈbri:fli] ad. 暂时地；简要地
residential	[ˏrezɪˈdenʃl] a. 居住的，住宅的；寄宿的
legal	[ˈliːgl] a. 法律的；合法的
grab	[græb] v./n. 抓，夺
crescent	|
concept	[ˈkɔnsept] n. 概念，观念；设想
municipal	[mjuːˈnɪsɪpl] a. 市的，市政的；地区的；内政的
thesis	[ˈθiːsɪs] n. 论文
freefone	[ˈfriːfəun] n. 免费电话
screw	|
cord	[kɔːd] n. 线；带
centennial	|
teamwork	[ˈti:mwɜ:k] n. 协力合作，团队合作；配合
steep	[stiːp] a. 陡峭的；（价格等）过高的；急剧的
front-line	[f'rʌntl'aɪn] a. 前线的；第一线的
unobtrusive	[ˏʌnəbˈtruːsɪv] a. 不显著的，不引人注目的；不张扬的
exhibition	[ˏeksɪˈbɪʃn] n. 展览（会）；陈列，展览
underestimate	|
federation	[‚fedə'reɪʃn] n. 联邦；同盟
penalty	[ˈpenltɪ] n. 惩罚；罚金
distraction	____ [dɪˈstrækʃn] n. 分散注意力的事；使人分心的事；娱乐，消遣
deceive	[dɪˈsiːv] v. 欺骗，蒙骗
conquer	[ˈkɔŋkə(r)] vt. 征服，战胜，占领；克服，破除（坏习惯等）
intimate	|
undergraduate	[ˏʌndəˈgrædʒuət] n. 大学本科生，大学生，大学肄业生
slice	|
trim	|
pronounceable	[prə'naʊnsəbl] a. （指声音）发得出的；（指词）可发音的
philosophy	[fɪˈlɔsəfɪ] n. 哲学；哲理
shore	[ʃɔː(r)] n. 滨，岸，海滩
remuneration	[rɪˌmju:nəˈreɪʃn] n. 报酬
concession	[kənˈseʃn] n. 让步，迁就；特许权；承认，认可
meteorology	__metearology__ [ˏmiːtɪəˈrɔlədʒɪ] n. 气象学
fantasy	[ˈfæntəsɪ] n. 想像
extreme	|
moderate	|
extent	[ɪkˈstent] n. 范围；面积；广度，长度；程度
superficial	[ˏsuːpəˈfɪʃl] a. 表面的；肤浅的
distance	[ˈdɪstəns] n. 距离；远方；一长段时间
redundant	[rɪˈdʌndənt] a. （因人员过剩而）被解雇的；多余的，过剩的；累赘的，冗长的
clumsy	[ˈklʌmzɪ] a. 笨拙的；不得体的
authority	[ɔːˈθɔrətɪ] n. 权力，管辖权； [pl.] 官方，当局；权威，专家
hesitate	[ˈhezɪteɪt] vi. 犹豫；不情愿
slat	|
bury	[ˈberɪ] vt. 埋葬；埋藏，掩藏
torment	|
intense	[ɪnˈtens] a. 强烈的，剧烈的；紧张的；热情的，热切的
document	|
appointment	[əˈpɔɪntmənt] n. 约会
disseminate	[dɪˈsemɪneɪt] v. 散布，传播
whereas	[ˏweərˈæz] conj. 然而，但是
tenable	[ˈtenəbl] a. 站得住脚的；可防守的
criterion	[kraɪˈtɪərɪən] n. 标准，准则
luxury	|
cohesion	[kəuˈhiːʒn] v. 结合，团结；凝聚力
carousel	[ˏkærəˈsel] n. 行李式传送带
urbanization	[ˌɜ:bənaɪ'zeɪʃn] n. 城市化，都市化
derelict	|
frustrating	[frʌˈstreɪtɪŋ] a. 令人泄气的，使人沮丧的
impression	[ɪmˈpreʃn] n. 印象，感想；印记，压痕
trustworthy	[ˈtrʌstwɜ:ði] a. 值得信赖的，可靠的
tribute	[ˈtrɪbjuːt] n. 贡品；颂词，称赞；（表示敬意的）礼物
discharge	|
squash	|
gadget	[ˈgædʒɪt] n. 小巧的器械，精巧的装置；小玩意
recruit	|
extinct	[ɪkˈstɪŋkt] a. 灭绝的；废弃的
division	[dɪˈvɪʒn] n. 分开，分隔；分配；分歧；除（法）；部门，科，司
condition	|
expel	[ɪkˈspel] vt. 把……开除；驱逐
recognize	[ˈrekəgnaɪz] vt. 认出；承认，认可
reliable	[rɪˈlaɪəbl] a. 可靠的，可依赖的
exhaust	|
erosion	[ɪ'rəʊʒn] n. 腐蚀；磨损
thermal	|
clerk	[klɑːk] n. 办事员；职员
fragment	|
coral	|
commencement	[kəˈmensmənt] n. 开始，开端；毕业典礼
recommendation	[ˌrekəmenˈdeɪʃn] n. 推荐，推荐信；劝告，建议
humane	[hjuːˈmeɪn] a. 善良的，人道的，仁慈的，慈悲的；（指学科）促进文明或教化的，人文的
commit	[kəˈmɪt] v. 把……交托给，提交；犯（错误），干（坏事）
sponge	|
recreational	[ˌrekriˈeɪʃənl] a. 消遣的，娱乐的；游戏的
boost	|
substance	[ˈsʌbstəns] n. 物质；实质
reputation	[ˏrepjuˈteɪʃn] n. 名誉，名声
simultaneously	[ˌsɪməl'teɪnɪəslɪ] ad. 同时地
glove	[glʌv] n. 手套
realm	[relm] n. 界，领域，范围；王国，国度
tag	|
maltreat	[ˏmælˈtriːt] vt. 虐待
slight	|
request	[rɪˈkwest] n./vt. 要求；请求
fumes	[fju:mz] n. 烟，气，汽
conductive	[kənˈdʌktɪv] a. 能传导电（或热）的，导电（或热）的
optimism	[ˈɔptɪmɪzəm] n. 乐观，乐观主义
tome	[təum] n. 册，大部头书；（有学术价值的）巨著
refundable	[rɪ'fʌndəbl] a. 可退还的，可归还的，可偿还的
liaise	[lɪˈeɪz] vi. 做联络人；联络，联系
staff	|
laboratory	[ləˈbɔrətrɪ] n. 实验室，研究室
infringe	[ɪnˈfrɪndʒ] v. 侵犯，侵害；违背，触犯（法规）；干涉，干扰
bachelor	[ˈbætʃələ(r)] n. 学士；单身汉
entice	[ɪnˈtaɪs] v. 怂恿，引诱
criminal	|
appeal	|
interpret	[ɪnˈtɜːprɪt] v. 解释，说明；口译，翻译
retail	|
antidote	[ˈæntɪdəut] n. 解毒药；矫正方法
plus	|
germ	[dʒɜːm] n. 微生物，细菌；起源，萌芽
valid	[ˈvælɪd] a. 有效的，具有法律效力的；正当的；有根据的，有理的
complicate	[ˈkɔmplɪkeɪt] vt. 使变复杂
pumice	|
inspiring	|
bilingual	[ˏbaɪˈlɪŋgwəl] a. （说）两种语言的
wrestle	[ˈresl] v. 摔跤；全力对付；用力移动
spasmodic	[spæzˈmɔdɪk] a. 痉挛的；间歇性的
endanger	[ɪnˈdeɪndʒə(r)] vt. 危及，危害
empire	[ˈempaɪə(r)] n. 帝国
discard	[dɪˈskɑːd] vt. 丢弃，遗弃
heighten	[ˈhaɪtn] v. （使）增强，（使）加剧
objection	[əbˈdʒekʃn] n. 反对；反对的理由
check	|
bolster	|
niggle	[ˈnɪgl] v. 拘泥小节；挑剔，吹毛求疵；为小事操心；不断地烦扰
handout	[ˈhændaʊt] n. 传单，分发的印刷品；救济品
analogy	[əˈnælədʒɪ] n. 类推；类比
militant	|
original	|
gigantic	[dʒaɪˈgæntɪk] a. 巨大的，庞大的
creation	[kriːˈeɪʃn] n. 创造；作品
eruption	[ɪ'rʌpʃn] n. （火山、战争等）爆发；（疾病）发作
get-off-track	get off track 离题，偏离目标
seam	[siːm] n. 缝，接缝；煤层
acrobatic	[ˌækrəˈbætɪk] a. 杂技的；杂技般的；杂技演员
tradition	[trəˈdɪʃn] n. 传统；惯例
verdict	[ˈvɜːdɪkt] n. 裁定；定论；判断；意见
slacken	[ˈslækən] v. （使）松弛，放松；放慢；萧条
voyage	[ˈvɔɪɪdʒ] n./v. 旅行，航行，飞行
provision	__prevision__ [prəˈvɪʒn] n. 供应，（一批）供应品；准备，预备；条款，规定；给养，口粮
graph	[grɑːf] n. 图，图表，曲线图
hesitation	[ˌhezɪ'teɪʃn] n. 犹豫，踌躇
effective	[ɪˈfektɪv] a. 有效的，生效的；给人深刻印象的，显著的
tan	|
improvement	[ɪm'pru:vmənt] n. 改进，进步；改进措施；改进处
insight	[ˈɪnsaɪt] n. 洞察力，深刻的了解；顿悟
pursuit	[pəˈsjuːt] n. 追求，寻求；[常pl.] 花时间和精力等做的事；消遣，爱好
region	[ˈriːdʒən] n. 地区；范围
insist	[ɪnˈsɪst] v. 坚持，坚决认为；一定要
relate	[rɪˈleɪt] v. 有关联；讲述，叙述
inescapable	[ˌɪnɪˈskeɪpəbl] a. 不可逃避的；难免的
sculpture	[ˈskʌlptʃə(r)] n. 雕塑品
inflammable	[ɪnˈflæməbl] a. 易燃的；易怒的
trivialize	['trɪvɪəlaɪz] vt. 使显得不重要，轻视，淡化
label	|
premise	[ˈpremɪs] n. 前提，假设；[pl.] （企业、机构等使用的）房屋和地基，经营场址
probe	|
iron	|
assistantship	[əˈsɪstəntʃɪp] n. （给研究生的）半工半读助学金，（大学）研究生助教奖学金
flame	|
facial	[ˈfeɪʃl] a. 面部的；面部用的
crockery	[ˈkrɔkərɪ] n. 陶器；瓦器
beneath	[bɪˈniːθ] prep./ad. 在下方
muscle	[ˈmʌsl] n. 肌肉；体力；力量，实力
avenue	[ˈævənjuː] n. 林荫道，大街；方法，途径
attain	[əˈteɪn] vt. 达到；获得；完成
expansion	[ɪkˈspænʃn] n. 扩大，扩张
Nordic	[ˈnɔːdɪk] a. 北欧人的；北欧国家的
significant	[sɪgˈnɪfɪkənt] a. 有意义的；重大的，重要的
optimum	[ˈɔptɪməm] a. 最好的；最有利的
transplant	|
comedy	[ˈkɔmədɪ] n. 喜剧；喜剧性（事件）
amorphous	[əˈmɔːfəs] a. 无固定形状的；无组织的
clientele	[ˏkliːənˈtel] n. （医生、律师等的）顾客，主顾，客户
helicopter	[ˈhelɪkɔptə(r)] n. 直升飞机
simplify	[ˈsɪmplɪfaɪ] vt. 使简化
simplicity	[sɪmˈplɪsətɪ] n. 简单（性），简易；朴素；直率，单纯
device	__divice__ [dɪˈvaɪs] n. 装置，设备，仪表；方法；设计；手段；策略
agriculture	[ˈægrɪkʌltʃə(r)] n. 农业；农学
sensible	[ˈsensəbl] a. 明智的；合情理的；能觉察到的
healing	|
stain	|
facsimile	[fækˈsɪməlɪ] n. 复制品；副本
uneasy	[ʌnˈiːzɪ] a. 心神不安的；担心的
county	[ˈkauntɪ] n. 郡，县
chemical	|
devastate	[ˈdevəsteɪt] vt. 破坏，毁坏；使震惊，使极为悲痛
malt	|
humidity	[hju:ˈmɪdəti] n. 湿度；潮湿
fulfillment	[fʊl'fɪlmənt] n. 履行；实现
conscious	__cautious__ [ˈkɔnʃəs] a. 自觉的；意识到的；神志清醒的
compress	|
